"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","POSIZPROF","Posizione professionale","REGIME_ORARIO","Tempo pieno/parziale","CARATT_OCC","Carattere occupazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q2","T2-2019",1975.727,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",1965.798,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",1986.563,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",1953.784,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",1968.644,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",1958.996,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",1941.278,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",1946.217,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019","2019",1798.289,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",1770.204,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q2","T2-2019",1811.517,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",1781.49,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",1829.946,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",1759.606,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",1741.275,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",1772.504,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",1765.136,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",1759.508,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019","2019",3771.156,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",3733.582,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q2","T2-2019",3787.245,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",3747.288,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",3816.509,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",3713.389,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",3709.919,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",3731.5,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",3706.414,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",3705.725,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019","2019",2417.02,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020","2020",2374.683,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019","2019",1189.205,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020","2020",1168.865,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019","2019",3606.226,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020","2020",3543.548,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",334.114,,
"ITFG","Mezzogiorno","1","maschi","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",327.389,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",632.973,,
"ITFG","Mezzogiorno","2","femmine","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",597.498,,
"ITFG","Mezzogiorno","9","totale","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",967.086,,
