"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2019-Q2","T2-2019",690.365,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2019-Q4","T4-2019",671.078,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2019-Q3","T3-2019",676.056,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2020","2020",659.821,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2020-Q2","T2-2020",647.323,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2020-Q1","T1-2020",650.709,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2020-Q3","T3-2020",657.558,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2020-Q4","T4-2020",683.693,,
"ITF6","Calabria","9","totale","Y45-54","45-54 anni","2019","2019",146.319,,
"ITF6","Calabria","9","totale","Y45-54","45-54 anni","2020","2020",139.249,,
"ITC1","Piemonte","9","totale","Y55-64","55-64 anni","2019","2019",340.164,,
"ITC1","Piemonte","9","totale","Y55-64","55-64 anni","2020","2020",346.095,,
"ITD1","Provincia Autonoma Bolzano / Bozen","2","femmine","Y55-64","55-64 anni","2019","2019",20.52,,
"ITD1","Provincia Autonoma Bolzano / Bozen","2","femmine","Y55-64","55-64 anni","2020","2020",21.332,,
"ITF2","Molise","9","totale","Y55-64","55-64 anni","2019","2019",24.686,,
"ITF2","Molise","9","totale","Y55-64","55-64 anni","2020","2020",25.12,,
"ITG2","Sardegna","9","totale","Y55-64","55-64 anni","2019","2019",123.426,,
"ITG2","Sardegna","9","totale","Y55-64","55-64 anni","2020","2020",121.998,,
"ITF1","Abruzzo","2","femmine","Y_GE65","65 anni e più","2019","2019",5.71,,
"ITF1","Abruzzo","2","femmine","Y_GE65","65 anni e più","2020","2020",4.036,,
"ITG1","Sicilia","1","maschi","Y_GE65","65 anni e più","2019","2019",24.449,,
